player_id,player,season,age,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,x2p_percent,x3p_percent,ft_percent,x3p_ar,f_tr,usg_percent,orb_percent,drb_percent,ows,dws,obpm,dbpm,all_nba
gortama01,Marcin Gortat,2015,30.0,12.2,8.7,1.2,0.6,1.3,0.569,0.0,0.703,0.004,0.226,17.6,8.5,24.1,4.4,4.2,0.6,0.9,0
grantje01,Jerami Grant,2015,20.0,6.3,3.0,1.2,0.6,1.0,0.383,0.314,0.591,0.443,0.548,16.5,3.7,12.3,-0.9,1.4,-3.9,0.6,0
greenda02,Danny Green,2015,27.0,11.7,4.2,2.0,1.2,1.1,0.466,0.418,0.874,0.619,0.172,17.5,2.7,13.9,4.0,3.9,2.6,2.0,0
greendr01,Draymond Green,2015,24.0,11.7,8.2,3.7,1.6,1.3,0.523,0.337,0.66,0.43,0.261,17.2,5.1,22.4,3.3,5.2,0.7,2.8,0
greenge01,Gerald Green,2015,29.0,11.9,2.5,1.2,0.6,0.2,0.478,0.354,0.825,0.497,0.154,28.4,2.5,11.7,1.0,1.0,1.2,-1.5,0
greenje02,Jeff Green,2015,28.0,14.05,4.2,1.75,0.65,0.45,0.462,0.347,0.829,0.291,0.294,21.2,3.25,12.05,2.2,1.95,0.65,-0.45,0
greenwi01,Willie Green,2015,33.0,5.9,1.5,1.3,0.5,0.1,0.411,0.347,0.824,0.395,0.111,17.6,1.6,7.9,-0.4,0.4,-3.2,-1.0,0
griffbl01,Blake Griffin,2015,25.0,21.9,7.6,5.3,0.9,0.5,0.504,0.4,0.728,0.022,0.373,28.4,6.1,17.9,6.6,2.4,3.8,0.2,1
hairspj02,P.J. Hairston,2015,22.0,5.6,2.0,0.5,0.5,0.3,0.358,0.301,0.861,0.606,0.134,20.4,3.4,11.5,-0.5,0.8,-2.6,-0.2,0
hansbty01,Tyler Hansbrough,2015,29.0,3.6,3.6,0.3,0.4,0.2,0.538,0.143,0.698,0.042,0.842,10.5,11.6,17.3,2.6,0.9,-0.7,-0.6,0
hardati02,Tim Hardaway Jr.,2015,22.0,11.5,2.2,1.8,0.3,0.2,0.435,0.342,0.801,0.494,0.218,23.8,0.8,10.2,0.8,0.0,0.2,-3.0,0
hardeja01,James Harden,2015,25.0,27.4,5.7,7.0,1.9,0.7,0.48,0.375,0.868,0.378,0.561,31.3,2.8,14.2,12.2,4.2,7.0,1.8,1
harklma01,Maurice Harkless,2015,21.0,3.5,2.4,0.6,0.7,0.2,0.52,0.179,0.537,0.354,0.259,13.7,6.3,11.6,-0.3,0.6,-3.8,0.2,0
harride01,Devin Harris,2015,31.0,8.8,1.8,3.1,1.0,0.2,0.481,0.357,0.815,0.508,0.309,18.0,0.8,8.0,2.9,1.3,0.6,0.8,0
harriga01,Gary Harris,2015,20.0,3.4,1.2,0.5,0.7,0.1,0.395,0.204,0.745,0.475,0.217,16.6,3.0,6.7,-1.2,0.5,-5.6,0.3,0
harrijo01,Joe Harris,2015,23.0,2.7,0.8,0.5,0.1,0.0,0.472,0.369,0.6,0.7,0.125,14.1,1.7,7.8,0.0,0.2,-4.0,-1.6,0
harrito02,Tobias Harris,2015,22.0,17.1,6.3,1.8,1.0,0.5,0.5,0.364,0.788,0.252,0.258,22.5,3.4,17.3,3.0,1.8,1.1,-0.6,0
